feature,importance
concave points_mean,0.29855760896503597
area_worst,0.2979243069294698
perimeter_se,0.09276516734953581
texture_mean,0.056073846617903225
concavity_se,0.047509482685713825
symmetry_worst,0.03860171289400905
smoothness_worst,0.03134177063887224
concave points_se,0.02860590337848162
symmetry_se,0.018319001569907737
fractal_dimension_worst,0.015909141466868747
smoothness_mean,0.015823720795744633
symmetry_mean,0.013304076923185512
smoothness_se,0.010875713660421204
fractal_dimension_mean,0.00948644280654185
fractal_dimension_se,0.00897928359661005
compactness_se,0.008693315118534897
texture_se,0.007229504603163843
